ESC signal (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM)
1000.0,-0.000343501199286,-0.0049525525318223,25.01197929382324,0.0343312731198966,0
1000.0,-0.0004069458151249,-0.0058746899242143,25.01286811828613,0.0332609295099973,0
1000.0,-0.0003575677440239,-0.0015496406423367,25.013533782958984,0.0370857994258403,0
1000.0,-0.0003131549635911,-0.0042260881958647,25.013542938232423,0.035799217056483,0
1000.0,-0.0003994451062208,-0.0047861179780735,25.012378311157228,0.0361634902842342,0
1000.0,-0.0002953958433032,-0.0047996126716207,25.01366233825684,0.0302475366462022,0
1000.0,-0.0004041560111594,-0.0006027629784415,25.01351547241211,0.0339598833071067,0
1000.0,-0.0004104010277517,-0.0024807744970935,25.012694931030275,0.0404347886517643,0
1000.0,-0.0003401782779282,-0.0058252093812079,25.01261596679688,0.0377213400043547,0
1000.0,-0.0003721900078312,-0.0075165443057903,25.012803649902345,0.0330570915434509,0
1000.0,-0.0003612928362838,-0.0049165666823631,25.013358688354494,0.0374927004054188,0
1000.0,-0.0003286888169073,-0.0076537403568535,25.012768936157222,0.0373299400508403,0
1000.0,-0.0002764750166493,-0.0032454737981015,25.013590240478518,0.0373017561808228,0
1000.0,-0.0003411513198834,-0.0040506571797511,25.014445495605468,0.0376182583346962,0
1000.0,-0.0004093903456119,-0.0070284862224999,25.01364517211914,0.0385506431758403,0
1000.0,-0.000362426605678,-0.0090257008674855,25.013289642333984,0.0342917454615235,0
1000.0,-0.0003393042291901,-0.0064032320881463,25.01402168273926,0.0326780922431498,0
1000.0,-0.0003627186955764,-0.0015451424111543,25.01292114257813,0.036130938231945,0
1000.0,-0.0003586397556998,-0.0060951032521519,25.01307144165039,0.0329625354334712,0
1000.0,-0.0002823669408135,-0.0036112924490102,25.012858200073243,0.0336980574950575,0
1000.0,-0.0002813470385185,-0.0014236901692295,25.01327972412109,0.0346777201816439,0
1000.0,-0.0003413258387989,-0.0042958107791919,25.013218688964844,0.0378530985862016,0
1000.0,-0.0003583924039047,-0.0044495378298505,25.013408279418947,0.0364022057224065,0
1000.0,-0.0003572777076342,-0.0013494693547199,25.01403732299805,0.0331647529453039,0
1101.1097250000105,-0.0004285729686999,-0.0072803871687143,24.984672927856444,0.9717684940621256,0
1104.2337500000076,-0.0062577802299263,-0.1095094381355278,24.973670959472656,0.9828943344950676,704
1107.3072750000074,0.00372136370868,-0.1962578264881116,24.97097320556641,1.0202304098010064,1390
1110.4899250000062,0.005915996659339,-0.2480361784382609,24.969131851196288,1.0687097403407098,1559
1113.5936750000064,0.0059124289718232,-0.2617430760414906,24.965331268310543,1.1414989325404168,1639
1116.754950000004,0.0060165054029258,-0.2836966933271938,24.96082458496094,1.2062736842036248,1702
1119.8564500000066,0.0057353317599648,-0.306898569766013,24.95662956237793,1.2981496426463128,1757
1122.9304750000074,0.0055692207006164,-0.3024138332771602,24.952655029296874,1.3721277090907098,1819
1126.093275000003,0.0051198022489342,-0.3156439183750554,24.948494720458985,1.4351411911845209,1883
1129.18937500001,0.0055776385672391,-0.3374640506504209,24.943900299072265,1.5204222294688226,1928
1132.373700000012,0.0046275218424212,-0.3684786236905017,24.93832015991211,1.6389695498347283,1995
1135.499975000007,0.0044579745607179,-0.3893414199144729,24.934542083740237,1.7085500332713128,2043
1138.6153500000091,0.0040298130705563,-0.4161021281811375,24.929155349731445,1.7931939694285393,2096
1141.708250000006,0.0043618763253509,-0.4399719919505431,24.92458724975586,1.8699851128458975,2140
1144.8442000000025,0.003727076059024,-0.4750521787890566,24.919263458251955,1.9742098900675773,2192
1147.994600000011,0.0031767897655452,-0.4836858025811062,24.913795471191406,2.0616261813044545,2242
1149.960575,0.0028711268912785,-0.4831722732637455,24.908004379272462,2.156074032485485,2293
1150.0,0.0041084051269623,-0.4888527520566598,24.906807708740235,2.131477150619029,2334
1150.0,0.0032023571410323,-0.5457546455514525,24.904833984375,2.15102003544569,2333
1150.0,0.0049137171154817,-0.5185403468979326,24.902691650390626,2.1282781454920765,2341
1150.0,0.0075945911915693,-0.5106879534064862,24.900862884521484,2.167491612136364,2335
1150.0,0.0024066462151045,-0.5289762432411005,24.90161437988281,2.0983728739619254,2331
1150.0,0.0020356949336178,-0.5028265072247852,24.898884963989257,2.139248976409435,2334
1150.0,0.0032442619935459,-0.5072970180575239,24.898368072509765,2.1240773531794543,2336
1150.0,0.0030654969974263,-0.5040335513346925,24.896496963500976,2.13781784504652,2331
1150.0,0.0026971161653929,-0.5259722120017143,24.89448356628418,2.1519823405146594,2335
1150.0,0.0026602234207339,-0.5308789950312557,24.892681884765626,2.167635163962841,2339
1150.0,0.0027565009264551,-0.4832697161967342,24.893800354003908,2.120188555419445,2343
1150.0,0.0025394540571612,-0.4911783375779604,24.89217147827149,2.12466939419508,2332
1150.0,0.0034062554779089,-0.5149530075299685,24.889317321777344,2.17023390263319,2328
1150.0,0.0029281615645809,-0.5036152158347295,24.890400695800786,2.111416945159435,2337
1150.0,0.0028403601846407,-0.5041640000389821,24.887201690673827,2.14907854527235,2333
1149.2352749999964,0.0037562423647637,-0.5071238361570014,24.887324142456052,2.1273287150263784,2335
1146.265375000003,0.0038678212271346,-0.5052705649098526,24.891215133666996,2.019375929534435,2312
1143.1383750000032,0.0032728924351026,-0.5050906356625566,24.894615936279298,1.9171158644557,2258
1139.9539000000095,0.0029814077345492,-0.464925929434907,24.897724151611328,1.8300169560313224,2214
1136.9137249999949,0.0047134112692564,-0.4309552875454223,24.901875305175786,1.7101466271281245,2160
