Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
65.09882600000053,1110.6252000006498,,,,-0.016015625,0.014453125,-1.0375,0.006363715211675866,-0.36556225173128243,22.09642333984375,0.24677546948194506,1874,0,5.452598700639625,0,0,0,0,0.46640625,,
65.2240200000003,1100,,,,-0.018359375,0.025,-1.023828125,0.0069104225773611565,-0.2380306503634691,22.109995651245118,0.1807877454161644,1507,0,3.9971883081940653,0,0,0,0,0.430078125,,
65.35032800000012,1100,,,,-0.002734375,0.051953125,-1.0453125,0.0041173917781904485,-0.20318133524039234,22.114228820800783,0.22019126743078235,1328,0,4.869338580050056,0,0,0,0,0.3859375,,
65.47380400000064,1100,,,,-0.041015625,0.0984375,-1.056640625,0.004626924291001011,-0.1885006268140628,22.118156814575194,0.21494418412446975,1312,0,4.754176114989035,0,0,0,0,0.34921875,,
65.59701600000112,1100,,,,-0.0234375,0.0359375,-1.033984375,0.005071151854115934,-0.171543026218982,22.12300033569336,0.213328203856945,1304,0,4.719459252892326,0,0,0,0,0.316796875,,
65.72448299999982,1100,,,,0.0015625,0.100390625,-1.06484375,0.0035575727377031947,-0.18859958790007558,22.126778030395506,0.21678686171770095,1302,0,4.796802602824799,0,0,0,0,0.28828125,,
65.85157899999918,1100,,,,0.005859375,0.082421875,-1.053125,0.003481952217931852,-0.18071042136871318,22.129607009887696,0.2150625529885292,1301,0,4.759251012077695,0,0,0,0,0.2625,,
65.97424599999786,1100,,,,0.01171875,-0.053515625,-1.004296875,0.004169081231408731,-0.16472747501507887,22.13225860595703,0.21810638338327407,1301,0,4.827179731537967,0,0,0,0,0.244140625,,
66.10004799999892,1100,,,,-0.009375,0.140234375,-1.07578125,0.003874559909932276,-0.17006012808181406,22.134646606445312,0.2146868649125099,1302,0,4.752017686916828,0,0,0,0,0.22890625,,
66.22344099999965,1100,,,,-0.010546875,0.05390625,-1.04375,0.002983668822654331,-0.15756854008828927,22.139167404174806,0.2191197636723518,1304,0,4.851132375742518,0,0,0,0,0.217578125,,
66.34689099999964,1100,,,,-0.026953125,0.0828125,-1.047265625,0.004201527769545573,-0.17506665938782526,22.140129852294923,0.222483477294445,1306,0,4.92581785497393,0,0,0,0,0.212890625,,
66.47113900000156,1100,,,,-0.022265625,0.141015625,-1.06875,0.004246385970902069,-0.21614900477668436,22.142231369018553,0.21269653767347335,1311,0,4.709575532931308,0,0,0,0,0.20703125,,
66.59718600000141,1100,,,,-0.026171875,0.029296875,-1.02890625,0.004321864482918105,-0.21685072884113876,22.144233322143556,0.21400637358427047,1304,0,4.739000022557878,0,0,0,0,0.20546875,,
66.72313200000076,1100,,,,0.0046875,0.06015625,-1.046484375,0.003756949068422098,-0.19068451805311798,22.14645347595215,0.21409937769174575,1302,0,4.741543680565102,0,0,0,0,0.2,,
66.84891600000262,1100,,,,0.00625,0.081640625,-1.053515625,0.00453516893150551,-0.17780608217790686,22.14780044555664,0.21635554760694503,1301,0,4.7918003393286455,0,0,0,0,0.187109375,,
66.97919299999921,1100,,,,-0.062890625,0.133203125,-1.071484375,0.00462468859083452,-0.16909750660878048,22.148535919189452,0.21797733932733535,1303,0,4.827874996787463,0,0,0,0,0.187109375,,
67.09813700000048,1100,,,,-0.016796875,0.06796875,-1.023828125,0.0032800233325363587,-0.1472945800676877,22.15168571472168,0.2179319980740547,1306,0,4.82755658412964,0,0,0,0,0.18515625,,
67.22334099999964,1111.0913749993415,,,,-0.02890625,0.091015625,-1.059375,0.003958900744353148,-0.16859370471635168,22.152506637573243,0.23063893646001815,1306,0,5.109238154745191,0,0,0,0,0.186328125,,
67.34999700000137,1139.3783749995055,,,,-0.0203125,0.06484375,-1.04765625,-0.0005465450497692049,-0.18241227090868445,22.145356369018554,0.3732131871581078,1423,0,8.264772990558063,0,0,0,0,0.183203125,,
67.47451199999898,1167.3352999995768,,,,-0.00625,0.008203125,-1.021484375,-0.004082362313041129,-0.2884603201493554,22.13147850036621,0.5708120915293694,1803,0,12.632657082977968,0,0,0,0,0.190234375,,
67.59700499999971,1195.107949999474,,,,-0.038671875,-0.01484375,-0.948046875,-0.006736450320556075,-0.44524841712749824,22.11186752319336,0.794723925292492,2246,0,17.572447974965904,0,0,0,0,0.220703125,,
67.72308900000004,1223.1562249996932,,,,-0.040234375,0.034375,-1.03203125,-0.008408055287430844,-0.625751188899254,22.09165229797363,1.0474799963831902,2656,0,23.140161724142217,0,0,0,0,0.2375,,
67.84788200000078,1251.458974999623,,,,-0.01328125,0.03984375,-1.051953125,-0.010549800480510385,-0.7961419369729742,22.06696014404297,1.3357240292429924,3016,0,29.474586979489555,0,0,0,0,0.234375,,
67.97398200000077,1279.638649999797,,,,0.08203125,-0.025,-1.02421875,-0.013434542606778668,-0.998899707519654,22.034938049316406,1.681917390525341,3353,0,37.06000096047442,0,0,0,0,0.2625,,
68.09763599999994,1307.692099999149,,,,-0.0015625,-0.1796875,-0.96015625,-0.016410876013897156,-1.1911945923360712,21.996291732788087,2.0829954716563224,3675,0,45.816290617187185,0,0,0,0,0.341796875,,
68.22326600000113,1335.944449999697,,,,-0.0625,0.03203125,-0.9953125,-0.020817433261607052,-1.4420744400720658,21.940708923339844,2.631294998824596,4038,0,57.7304317019438,0,0,0,0,0.38671875,,
68.34819700000136,1363.9254499994058,,,,-0.03125,0.07890625,-1.04140625,-0.02452760567465593,-1.7219453877786286,21.879457092285158,3.1322057101130483,4375,0,68.5279453871839,0,0,0,0,0.390234375,,
68.47506800000072,1392.2527249994528,,,,-0.003515625,0.021875,-1.0515625,-0.028512725676500112,-2.031437187821295,21.797376251220705,3.895681843459606,4717,0,84.91083386753918,0,0,0,0,0.451171875,,
68.59743499999941,1420.4346499994062,,,,-0.01953125,0.104296875,-1.03125,-0.03221509581721338,-2.363883461587749,21.700196075439454,4.530714926421643,5048,0,98.30951443984284,0,0,0,0,0.496484375,,
68.722025,1447.9168249991926,,,,0.001171875,0.137109375,-1.06015625,-0.037847844108884754,-2.717255506814728,21.586502075195312,5.330881914794445,5352,0,115.0648865014746,0,0,0,0,0.489453125,,
68.84916299999952,1476.6499999991356,,,,0.0046875,0.0734375,-1.01875,-0.04197255701021797,-3.100653245184226,21.44495544433594,6.277884039580822,5666,0,134.61996936691168,0,0,0,0,0.4875,,
