Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.23936524999737735,1000,,,,0.00068359375,0.0103515625,-1.0271484375,0.0031644819818482757,-0.09265549365525637,22.482799816131593,-0.00006010744720697514,0,0,0.07517027155859676,0,0,0,0,0.05673828125,,
0.23983600000198932,1000,,,,0,0.0103515625,-1.02734375,0.0033077329812534577,-0.09480958411272818,22.48376178741455,0.0015590757317841043,0,0,0.1285275935002665,0,0,0,0,0.056640625,,
0.742887750001438,1000,,,,0,0.01015625,-1.02724609375,0.003236966688672025,-0.09327608087475824,22.483780956268312,-0.0002851548418402683,0,0,0.11567590612622884,0,0,0,0,0.0576171875,,
1.2376695000022648,1000,,,,0,0.01025390625,-1.02705078125,0.0032349081741917056,-0.09378848563432339,22.484265899658205,0.00040657689794897924,0,0,0.1050727667734895,0,0,0,0,0.05859375,,
1.7444470000024885,1000,,,,0,0.01015625,-1.02734375,0.003249747180109385,-0.09131541435812965,22.484520626068115,0.0014209230616688718,0,0,0.085994143182176,0,0,0,0,0.05859375,,
2.256159750002064,1000,,,,0,0.0099609375,-1.0271484375,0.003256999217845567,-0.09198958675659183,22.48450412750244,0.0008409922663122404,0,0,0.11342557449141813,0,0,0,0,0.05859375,,
2.764969500001706,1000,,,,0,0.00986328125,-1.02685546875,0.0032754528650791835,-0.09448534598631181,22.484726333618163,-0.0002812796086072933,0,0,0.07454374155301861,0,0,0,0,0.05859375,,
3.264455250002257,1000,,,,0,0.01005859375,-1.02734375,0.0032019394827387084,-0.09302322405441756,22.48548583984375,-0.00012161953374743572,0,0,0.07734747212035642,0,0,0,0,0.05859375,,
3.765453000002355,1000,,,,0,0.0099609375,-1.02724609375,0.0032378430805826636,-0.09018298465796043,22.48548345565796,-0.0023903833515942106,0,0,0.09185655083753459,0,0,0,0,0.05859375,,
4.274558250002191,1000,,,,0,0.01015625,-1.0271484375,0.0032601198677930645,-0.09215357539713519,22.485329341888427,-0.0001185191608965408,0,0,0.08736111511654701,0,0,0,0,0.05859375,,
4.7905247500026595,1000,,,,0,0.01005859375,-1.02705078125,0.003243746859678296,-0.09430670998048073,22.48655958175659,-0.0014620674587786208,0,0,0.10979837388538635,0,0,0,0,0.05859375,,
5.298490000002273,1000.0896533333287,,,,0,0.0099609375,-1.026953125,0.003232762770627992,-0.09120745680975205,22.486979961395264,-0.0002465961314737808,0,0,0.08021005051330002,0,0,0,0,0.05859375,,
5.782569250002317,1007.7127666666784,,,,0,0.00986328125,-1.0271484375,0.003219171746154776,-0.091521573916008,22.486894798278808,-0.0002851548418402683,0,0,0.0943105365257538,0,0,0,0,0.05859375,,
6.259019500002452,1020.4106933333339,,,,0,0.01005859375,-1.02724609375,0.0032513156173165246,-0.09283730653686004,22.487550354003908,-0.0011958381906151782,0,0,0.09734718398901104,0,0,0,0,0.05859375,,
6.7425897500021374,1033.3020266666667,,,,-0.0021484375,0.01298828125,-1.02890625,0.0032077192840884255,-0.09340801961812702,22.48745937347412,0.008594006970524787,0,0,0.23695627964791618,0,0,0,0,0.05869140625,,
7.2239057500019666,1046.142599999992,,,,-0.01162109375,0.0232421875,-1.02822265625,0.007197743715646944,-0.10877285277940978,22.486630249023438,0.04201317757368088,0,0,0.9856131146712068,0,0,0,0,0.06416015625,,
7.709448750002681,1059.0733733333327,,,,-0.01787109375,0.0353515625,-1.0322265625,0.006897742514219414,-0.12363275949046816,22.486970233917237,0.0354740837775171,0,0,0.7976962794842404,0,0,0,0,0.0892578125,,
8.194186250002497,1072.0179866666635,,,,-0.0158203125,0.04384765625,-1.04345703125,0.006014420464744095,-0.14665470668199132,22.486547183990478,0.05865930516272785,0,0,1.31904553240688,0,0,0,0,0.10107421875,,
8.674474000002256,1084.8235066666725,,,,-0.01357421875,0.0318359375,-1.037890625,0.0059020403971562834,-0.1717368437550537,22.48518466949463,0.10528822720050812,0,0,2.367406690573445,0,0,0,0,0.1056640625,,
9.153563750001418,1097.5899733333256,,,,-0.01494140625,0.04912109375,-1.03671875,0.007644087348395933,-0.21777174167573515,22.482906913757326,0.1619873690605163,0,0,3.6419398810473935,0,0,0,0,0.115234375,,
9.639763750001972,1110.5690333333282,,,,-0.01796875,0.030078125,-1.04150390625,0.008574034798529803,-0.28519910254211545,22.481345462799073,0.2222063969075679,0,0,4.995484071592133,0,0,0,0,0.1279296875,,
10.118602250002327,1123.3267466666584,,,,-0.01435546875,0.03232421875,-1.0357421875,0.008170709901379958,-0.3479944098484193,22.47912130355835,0.2876903380453588,0,0,6.467012692065286,0,0,0,0,0.14833984375,,
10.605779000002332,1136.3201799999902,,,,-0.020703125,0.03779296875,-1.03076171875,0.006859380010709168,-0.4139425976753295,22.47689390182495,0.3655334162712099,0,0,8.216042896463094,0,0,0,0,0.22294921875,,
11.084260750001858,1149.091160000006,,,,-0.00771484375,0.04541015625,-1.04287109375,0.006312042063968001,-0.48297395749649147,22.47340135574341,0.4499324384331704,0,0,10.111473339038731,0,0,0,0,0.23115234375,,
11.55579875000231,1161.6650133333317,,,,-0.0142578125,0.086328125,-1.07392578125,0.0048913085235535335,-0.5526481848384805,22.470733070373534,0.5355599182844162,0,0,12.034382440491083,0,0,0,0,0.26435546875,,
12.034557000002266,1174.4281333333397,,,,-0.0044921875,0.0736328125,-1.083203125,0.003914748645445994,-0.6419043370752523,22.466494274139404,0.6446871909499168,0,0,14.483815234856914,0,0,0,0,0.3341796875,,
12.515724250002204,1187.252799999997,,,,-0.011328125,0.03203125,-1.03642578125,0.0025849863805961692,-0.7142274603047771,22.46212491989136,0.755553874671459,0,0,16.971301437304263,0,0,0,0,0.34755859375,,
12.996779750001803,1200.0728200000012,,,,-0.01533203125,0.03544921875,-1.03115234375,0.0009263281428350039,-0.796731205257869,22.457121467590333,0.882085082232952,0,0,19.80903042302977,0,0,0,0,0.2595703125,,
13.483710250002144,1213.070366666662,,,,-0.00419921875,0.0634765625,-1.03369140625,-0.0004869074747703032,-0.8901352889237113,22.453116798400877,1.0215029391646386,0,0,22.935891186163154,0,0,0,0,0.24482421875,,
13.966347500002385,1225.933873333328,,,,-0.01376953125,0.02861328125,-1.02275390625,-0.002199990299920991,-0.9814623143410803,22.44738426208496,1.1545072707533837,0,0,25.91559002841463,0,0,0,0,0.27802734375,,
